"event_id","event","place","federation","startdate","enddate","type"
150,"38th Sitges Open",Sitges,ESP,"2012.07.20","2012.07.22",
151,"3rd Mediterranean Open",Terrasini,ITA,"2012.06.24","2012.06.30",
152,"40th GM",Dortmund,GER,"2012.07.17","2012.07.22",
153,"45th Biel GM",Biel,SUI,"2012.07.23","2012.07.23",
154,"52nd Pacific Southwest Open",Woodland Hills,USA,"2012.06.30","2012.07.01",
155,"5th Int ch-Central Serbia 2012",Paracin,SRB,"2012.07.12","2012.07.13",
156,"5th Paleochora Open",Paleochora,GRE,"2012.07.16","2012.07.23",
157,"6th Varna Open",Varna,BUL,"2012.07.16","2012.07.20",
158,"72nd ch-ITA S/F 2012",Civitanova Marche,ITA,"2012.07.17","2012.07.22",
159,"7th Nana Aleksandria Cup",Poti,GEO,"2012.07.17","2012.07.20",
160,"99th ch-GBR 2012",North Shields,ENG,"2012.07.23","2012.07.23",
161,ACP Golden Classic,Amsterdam,NED,"2012.07.18","2012.07.22",
162,Biel Exhibition Blitz,Biel,SUI,"2012.07.22","2012.07.22",
163,COQ Invitational 2012,Montreal,CAN,"2012.07.21","2012.07.22",
164,Corporation Centre Cup A,Izhevsk,RUS,"2012.07.15","2012.07.23",
165,FIDE WGP Jermuk 2012,Jermuk,ARM,"2012.07.17","2012.07.22",
166,FSFMA1 July 2012,Budapest,HUN,"2012.07.07","2012.07.16",
167,FSFMA2 July 2012,Budapest,HUN,"2012.07.07","2012.07.17",
168,FSFMB July 2012,Budapest,HUN,"2012.07.07","2012.07.17",
169,FSGM July 2012,Budapest,HUN,"2012.07.16","2012.07.16",
170,FSIM July 2012,Budapest,HUN,"2012.07.16","2012.07.17",
171,GER-POL w Match 2012,Gladenbach,GER,"2012.07.17","2012.07.21",
172,Grand Prix FFE Aix 2012,Aix les Bains,FRA,"2012.07.21","2012.07.21",
173,Grand Prix FFE Aix KO 2012,Aix les Bains,FRA,"2012.07.22","2012.07.22",
174,Helmut-Kohls-Turnier 2012,Dortmund,GER,"2012.07.14","2012.07.22",
175,III Maravilhosa Open 2012,Laranjeiras,BRA,"2012.07.14","2012.07.15",
176,Maria Albulet Memorial 2012,Braila,ROU,"2012.07.14","2012.07.21",
177,Mulhouse IM 2012,Mulhouse,FRA,"2012.07.02","2012.07.08",
178,Mulhouse WIM 2012,Mulhouse,FRA,"2012.07.02","2012.07.08",
179,Sparkassen Open A,Dortmund,GER,"2012.07.14","2012.07.22",
180,TCh-POR Div 1 Final,Matosinhos,POR,"2012.06.21","2012.06.22",
181,Turkish Bank Chess League 2012,Konya,TUR,"2012.07.18","2012.07.22",
182,XXI TCh-MKD 2012,Struga,MKD,"2012.07.16","2012.07.22",
183,ch-AUT 2012,Zwettl,AUT,"2012.07.21","2012.07.22",
184,ch-MNE 2012,Cetinje,MNE,"2012.07.17","2012.07.18",
185,ch-NED 2012,Amsterdam,NED,"2012.07.17","2012.07.21",
186,ch-NED w 2012,Amsterdam,NED,"2012.07.17","2012.07.21",
187,ch-Pan Americano U20 2012,Sao Paulo,BRA,"2012.06.29","2012.07.04",
188,ch-Pan Americano U20 w 2012,Sao Paulo,BRA,"2012.06.29","2012.07.04",
189,ch-SUI Hauptturnier 1 2012,Flims,SUI,"2012.07.16","2012.07.20",
190,"11th Condom IM 2012",Condom,FRA,"2012.07.14","2012.07.21",
191,"11th Condom Open A",Condom,FRA,"2012.07.14","2012.07.21",
192,"12th Valle del Chiese Open",Condino,ITA,"2012.07.22","2012.07.28",
193,"16th Battle of Senta Open A",Senta,SRB,"2012.07.14","2012.07.21",
194,"22nd HOF Open 2012",Jyvaskyla,FIN,"2012.07.09","2012.07.15",
195,"23rd Czech Open A",Pardubice,CZE,"2012.07.20","2012.07.28",
196,"24th ch-Southern California 2012",Monterey Park,USA,"2012.07.14","2012.07.29",
197,"27th Avoine Open",Avoine,FRA,"2012.07.21","2012.07.29",
198,"30th Andorra Open",Erts-La Massana,AND,"2012.07.21","2012.07.29",
199,"38th Sitges Open",Sitges,ESP,"2012.07.20","2012.07.28",
200,"45th Biel GM",Biel,SUI,"2012.07.24","2012.07.30",
201,"45th Biel Masters Open",Biel,SUI,"2012.07.23","2012.07.30",
202,"52nd Pacific Southwest Open",Woodland Hills,USA,"2012.06.30","2012.07.01",
203,"6th AD San Juan Open",Pamplona,ESP,"2012.07.23","2012.07.29",
204,"7th Nana Aleksandria Cup",Poti,GEO,"2012.07.14","2012.07.20",
205,"81st ch-UKR 2012",Kiev,UKR,"2012.07.27","2012.07.30",
206,"99th ch-GBR 2012",North Shields,ENG,"2012.07.23","2012.07.30",
207,ACP Golden Classic,Amsterdam,NED,"2012.07.16","2012.07.16",
208,COQ Invitational 2012,Montreal,CAN,"2012.07.23","2012.07.28",
209,Classical Match,Poznan,POL,"2012.07.24","2012.07.27",
210,Corporation Centre Cup A,Izhevsk,RUS,"2012.07.15","2012.07.24",
211,Dutch Open 2012,Dieren,NED,"2012.07.24","2012.07.28",
212,FIDE WGP Jermuk 2012,Jermuk,ARM,"2012.07.24","2012.07.28",
213,Open ch-BUL w 2012,Vratsa,BUL,"2011.07.24","2012.07.30",
214,Politiken Cup 2012,Helsingor,DEN,"2012.07.28","2012.07.29",
215,Rapid Match,Poznan,POL,"2012.07.28","2012.07.30",
216,Russia vs Fans,St Petersburg,RUS,"2012.06.25","2012.06.25",
217,TCh-POR Div 1 Final,Matosinhos,POR,"2012.06.23","2012.07.29",
218,Washington International 2012,Rockville,USA,"2012.07.28","2012.07.28",
219,XIV ch-Gdansk Int 2012,Gdansk,POL,"2012.07.22","2012.07.25",
220,ch-AUT 2012,Zwettl,AUT,"2012.07.23","2012.07.29",
221,ch-Oklahoma State 2012,Broken Arrow,USA,"2012.07.21","2012.07.22",
222,ch-PHI Grand Final 2012,Boracay,PHI,"2012.07.15","2012.07.25",
223,ch-SLO w 2012,Ljubljana,SLO,"2012.07.05","2012.07.05",
224,"16th HZ Open",Vlissingen,NED,"2012.08.04","2012.08.05",
225,"17th Creon Open 2012",Creon,FRA,"2012.07.30","2012.08.05",
226,"20th Montcada Open",Montcada i Reixac,ESP,"2012.06.25","2012.07.03",
227,"21st Kavala Open A",Kavala,GRE,"2012.07.25","2012.08.01",
228,"2nd Polugaevsky Mem",Samara,RUS,"2012.07.05","2012.07.13",
229,"2nd Riga Tech Open",Riga,LAT,"2012.08.06","2012.08.06",
230,"30th World Junior Girls",Athens,GRE,"2012.08.02","2012.08.05",
231,"38th Badalona Open A",Badalona,ESP,"2012.08.01","2012.08.05",
232,"45th Biel GM",Biel,SUI,"2012.07.31","2012.08.02",
233,"45th Biel Masters Open",Biel,SUI,"2012.07.31","2012.08.03",
234,"51st World Juniors",Athens,GRE,"2012.08.02","2012.08.05",
235,"62nd ch-RUS w",Moscow,RUS,"2012.08.03","2012.08.06",
236,"65th ch-RUS",Moscow,RUS,"2012.08.03","2012.08.06",
237,"81st ch-UKR 2012",Kiev,UKR,"2012.07.31","2012.08.06",
238,"99th ch-GBR 2012",North Shields,ENG,"2012.07.07","2012.08.07",
239,"9th Plancoet Open",Plancoet,FRA,"2012.07.29","2012.08.03",
240,CECLUB 1st Div GpA 2012,Don Benito,ESP,"2012.07.30","2012.08.03",
241,CECLUB 1st Div GpB 2012,Don Benito,ESP,"2012.07.30","2012.08.03",
242,CECLUB Div1 Final Ascenso 2012,Don Benito,ESP,"2012.08.04","2012.08.05",
243,CECLUB Div1 Final Desemp S/F 2012,Don Benito,ESP,"2012.08.04","2012.08.04",
244,CECLUB Div1 Final Permanencia 2012,Don Benito,ESP,"2012.08.04","2012.08.05",
245,Caissa GM July 2012,Kecskemet,HUN,"2012.07.21","2012.07.29",
246,Dutch Open 2012,Dieren,NED,"2012.07.30","2012.08.02",
247,Open ch-MKD 2012,Struga,MKD,"2012.08.04","2012.08.06",
248,PAB Romania Open 2012,Arad,ROU,"2012.07.27","2012.08.02",
249,Pays de Charleroi Open 2012,Roux,BEL,"2012.07.28","2012.08.04",
250,Platonov Memorial 2012,Rockville,USA,"2012.07.28","2012.08.01",
251,Politiken Cup 2012,Helsingor,DEN,"2012.07.30","2012.08.05",
252,Shirov-Laznicka m,Novy Bor,CZE,"2012.08.02","2012.08.06",
253,Turkish Bank Chess League 2012,Konya,TUR,"2012.07.22","2012.07.22",
254,Washington International 2012,Rockville,USA,"2012.07.28","2012.08.01",
255,XIV ch-Gdansk Int 2012,Gdansk,POL,"2012.07.26","2012.07.27",
256,ch-POR 2012,Pampilhosa da Serra,POR,"2012.08.04","2012.08.06",
257,"113th US Open 2012",Vancouver,USA,"2012.08.04","2012.08.12",
258,"113th US Open Playoff 2012",Vancouver,USA,"2012.08.12","2012.08.12",
259,"16th HZ Open",Vlissingen,NED,"2012.08.06","2012.08.11",
260,"2012 Canadian Closed Playoff",Montreal,CAN,"2012.08.11","2012.08.11",
261,"2nd Riga Tech Open",Riga,LAT,"2012.08.06","2012.08.11",
262,"2nd Split Open 2012",Split,CRO,"2012.08.11","2012.08.13",
263,"30th World Junior Girls",Athens,GRE,"2012.08.06","2012.08.12",
264,"38th Badalona Open A",Badalona,ESP,"2012.08.06","2012.08.09",
265,"51st World Juniors",Athens,GRE,"2012.08.06","2012.08.12",
266,"62nd ch-RUS w",Moscow,RUS,"2012.08.07","2012.08.12",
267,"65th ch-RUS",Moscow,RUS,"2012.08.07","2012.08.12",
268,"65th ch-RUS Playoff",Moscow,RUS,"2012.08.13","2012.08.13",
269,"81st ch-UKR 2012",Kiev,UKR,"2012.08.07","2012.08.07",
270,"87th ch-FRA 2012",Pau,FRA,"2012.08.13","2012.08.13",
271,"99th ch-GBR 2012",North Shields,ENG,"2012.08.02","2012.08.03",
272,Atalik vs Atalik Blitz,Halkidiki,GRE,"2012.08.09","2012.08.09",
273,Atalik vs Atalik Classical,Halkidiki,GRE,"2012.08.07","2012.08.07",
274,Atalik vs Atalik Rapid,Halkidiki,GRE,"2012.08.08","2012.08.08",
275,CEG vs Legends 2012,Geneve,SUI,"2012.08.04","2012.08.10",
276,Canadian Closed 2012,Montreal,CAN,"2012.08.04","2012.08.11",
277,Euro Chess Tournament GpA 2012,Borne,NED,"2012.08.06","2012.08.11",
278,FSFMA1 August 2012,Budapest,HUN,"2012.08.04","2012.08.11",
279,FSFMA2 August 2012,Budapest,HUN,"2012.08.04","2012.08.11",
280,FSGM August 2012,Budapest,HUN,"2012.08.04","2012.08.11",
281,FSIMA August 2012,Budapest,HUN,"2012.08.04","2012.08.11",
282,FSIMB August 2012,Budapest,HUN,"2012.08.04","2012.08.11",
283,Irish Championships 2012,Dublin,IRL,"2012.07.07","2012.07.15",
284,Manhem GM 2012,Gothenburg,SWE,"2012.08.11","2012.08.13",
285,Miguel Najdorf Open A,Warsaw,POL,"2012.08.06","2012.08.13",
286,Olomouc GM Valoz Cup,Olomouc,CZE,"2012.08.01","2012.08.09",
287,Olomouc IM Prima Pack,Olomouc,CZE,"2012.08.01","2012.08.09",
288,Olomouc Summer Open,Olomouc,CZE,"2012.08.02","2012.08.09",
289,Open ch-MKD 2012,Struga,MKD,"2012.08.07","2012.08.12",
290,Shirov-Laznicka m,Novy Bor,CZE,"2012.08.07","2012.08.09",
291,Stare Mesto Open 2012,Stare Mesto,CZE,"2012.08.10","2012.08.11",
292,TATA 14th IBCA Olympiad,Chennai,IND,"2012.08.10","2012.08.13",
293,XIII Miquel Mas Open,Figueres,ESP,"2012.08.09","2012.08.12",
294,XIV ch-Gdansk Int 2012,Gdansk,POL,"2012.07.27","2012.07.29",
295,ch-POR 2012,Pampilhosa da Serra,POR,"2012.08.07","2012.08.12",
296,"10th EU U14 2012",Mureck,AUT,"2012.08.01","2012.08.09",
297,"11th Braunau Open A",Ranshofen,AUT,"2012.08.04","2012.08.11",
298,"11th Lichtenberger Sommer 2012",Berlin,GER,"2012.08.18","2012.08.19",
299,"12th Brasschaat Open",Brasschaat,BEL,"2012.08.18","2012.08.19",
300,"14th Sants Open A",Barcelona,ESP,"2012.08.17","2012.08.19",
301,"16th Izmailov Mem",Tomsk,RUS,"2012.08.07","2012.08.21",
302,"22nd Gorges Open",Gorges,FRA,"2012.07.08","2012.07.13",
303,"22nd Pobla De Lillet Open",La Pobla de Lillet,ESP,"2012.08.01","2012.08.09",
304,"25th Panevezys IM",Panevezys,LTU,"2012.08.13","2012.08.19",
305,"25th Panevezys Open",Panevezys,LTU,"2012.08.13","2012.08.19",
306,"27th Schwarzacher Open",Schwarzach,AUT,"2012.08.18","2012.08.18",
307,"2nd Isthmia Open A",Korinthia,GRE,"2012.08.18","2012.08.19",
308,"2nd Riga Tech Open",Riga,LAT,"2012.08.12","2012.08.12",
309,"2nd Split Open 2012",Split,CRO,"2012.08.11","2012.08.19",
310,"30th World Junior Girls",Athens,GRE,"2012.08.13","2012.08.15",
311,"32nd Bratto Masters",Bratto,ITA,"2012.08.18","2012.08.19",
312,"51st World Juniors",Athens,GRE,"2012.08.13","2012.08.15",
313,"87th ch-FRA 2012",Pau,FRA,"2012.08.14","2012.08.20",
314,Anand vs The World,Chess.com,INT,"2012.08.13","2012.08.13",
315,Cologne vs Istanbul Match 2012,playchess.com,INT,"2012.08.12","2012.08.12",
316,Euro Chess Tournament GpA 2012,Borne,NED,"2012.08.10","2012.08.10",
317,FSFMA1 August 2012,Budapest,HUN,"2012.08.11","2012.08.14",
318,FSFMA2 August 2012,Budapest,HUN,"2012.08.12","2012.08.13",
319,FSFMB August 2012,Budapest,HUN,"2012.08.04","2012.08.12",
320,FSGM August 2012,Budapest,HUN,"2012.08.12","2012.08.13",
321,FSIMA August 2012,Budapest,HUN,"2012.08.11","2012.08.14",
322,FSIMB August 2012,Budapest,HUN,"2012.08.11","2012.08.14",
323,Husek Vienna Open A,Vienna,AUT,"2012.08.13","2012.08.19",
324,II Brazil Maringa Open,Maringa,BRA,"2012.08.08","2012.08.12",
325,Jiraskuv Memorial GM 2012,Rakovnik,CZE,"2012.08.04","2012.08.11",
326,LBV Open A 2012,Roosendaal,NED,"2012.08.16","2012.08.18",
327,Manhem GM 2012,Gothenburg,SWE,"2012.08.14","2012.08.17",
328,Miguel Najdorf Open A,Warsaw,POL,"2012.08.13","2012.08.14",
329,Minsk Open 2012,Minsk,BLR,"2012.07.10","2012.07.18",
330,Prva liga RS seniori 2012,Banja Vrucica,SRB,"2012.08.11","2012.08.17",
331,Stare Mesto Open 2012,Stare Mesto,CZE,"2012.08.12","2012.08.18",
332,TATA 14th IBCA Olympiad,Chennai,IND,"2012.08.14","2012.08.19",
333,TCh-CRC Premier 2012,San Jose,CRC,"2012.07.22","2012.07.29",
334,TCh-ESP CECLUB 2a Gp1 2012,Padron,ESP,"2012.08.08","2012.08.12",
335,TCh-ESP CECLUB 2a Gp2 2012,Burguillos,ESP,"2012.08.08","2012.08.12",
336,Wasselonne Open 2012,Wasselonne,FRA,"2012.08.02","2012.08.05",
337,XIII Miquel Mas Open,Figueres,ESP,"2012.08.13","2012.08.16",
338,ch-FRA w 2012,Pau,FRA,"2012.08.14","2012.08.20",
339,e2e4 Gatwick Masters A 2012,Crawley,ENG,"2012.08.18","2012.08.19",
340,e2e4 Gatwick Masters B 2012,Crawley,ENG,"2012.08.18","2012.08.19",
341,"11th Lichtenberger Sommer 2012",Berlin,GER,"2012.08.20","2012.08.26",
342,"12th Brasschaat Open",Brasschaat,BEL,"2012.08.20","2012.08.26",
343,"12th World Uni Men",Guimaraes,POR,"2012.08.20","2012.08.25",
344,"12th World Uni Women",Guimaraes,POR,"2012.08.20","2012.08.25",
345,"12th ch-Euro Seniors",Kaunas,LTU,"2012.08.18","2012.08.26",
346,"14th Sants Open A",Barcelona,ESP,"2012.08.17","2012.08.26",
